0068001006200000000000DEM,Board of Review: 1st District,Tammy Wendt
0068002006200000000000REP,Board of Review: 1st District,Dan Patlak
0103001206900000000000NON,Appellate Court: 1st District (Retain Aurelia Pucinski),Yes
0103002206900000000000NON,Appellate Court: 1st District (Retain Aurelia Pucinski),No
0104001206900000000000NON,Appellate Court: 1st District (Retain Mary Katherine Rochford),Yes
0104002206900000000000NON,Appellate Court: 1st District (Retain Mary Katherine Rochford),No
0163001206900000000000NON,Circuit Court (Retain Diana Rosario),Yes
0163002206900000000000NON,Circuit Court (Retain Diana Rosario),No
0135001206900000000000NON,Circuit Court (Retain Dominique Ross),Yes
0135002206900000000000NON,Circuit Court (Retain Dominique Ross),No
0130001206900000000000NON,Circuit Court (Retain Donna Cooper),Yes
0130002206900000000000NON,Circuit Court (Retain Donna Cooper),No
0125001206900000000000NON,Circuit Court (Retain Edward Arce),Yes
0125002206900000000000NON,Circuit Court (Retain Edward Arce),No
0111001206900000000000NON,Circuit Court (Retain Gregory Wojkowski),Yes
0111002206900000000000NON,Circuit Court (Retain Gregory Wojkowski),No
0134001206900000000000NON,Circuit Court (Retain Jackie Portman-Brown),Yes
0134002206900000000000NON,Circuit Court (Retain Jackie Portman-Brown),No
0106001206900000000000NON,Circuit Court (Retain James Flannery),Yes
0106002206900000000000NON,Circuit Court (Retain James Flannery),No
0126001206900000000000NON,Circuit Court (Retain James O'Hara),Yes
0126002206900000000000NON,Circuit Court (Retain James O'Hara),No
0162001206900000000000NON,Circuit Court (Retain James Pieczonka),Yes
0162002206900000000000NON,Circuit Court (Retain James Pieczonka),No
0115001206900000000000NON,Circuit Court (Retain Janet Adams Brosnahan),Yes
0115002206900000000000NON,Circuit Court (Retain Janet Adams Brosnahan),No
0122001206900000000000NON,Circuit Court (Retain Joan Powell),Yes
0122002206900000000000NON,Circuit Court (Retain Joan Powell),No
0147001206900000000000NON,Circuit Court (Retain John Allegretti),Yes
