0083001108400000000000DEM,Board of Review: 1st District,Tammy Wendt
0083002108400000000000REP,Board of Review: 1st District,Dan Patlak
0120001159900000000000NON,Appellate Court: 1st District (Retain Aurelia Pucinski),Yes
0120002159900000000000NON,Appellate Court: 1st District (Retain Aurelia Pucinski),No
0121001159900000000000NON,Appellate Court: 1st District (Retain Mary Katherine Rochford),Yes
0121002159900000000000NON,Appellate Court: 1st District (Retain Mary Katherine Rochford),No
0112001024100000000000DEM,Circuit Court: 12th Subcircuit (Hanlon vacancy),Patricia M. Fallon
0112002024100000000000REP,Circuit Court: 12th Subcircuit (Hanlon vacancy),Frank R. DiFranco
0113001022500000000000DEM,Circuit Court: 13th Subcircuit (Kulys Hoffman vacancy),Susanne Michele Groebner
0113002022500000000000REP,Circuit Court: 13th Subcircuit (Kulys Hoffman vacancy),Gary William Seyring
0167001159900000000000NON,Circuit Court (Retain Abbey Fishman Romanek),Yes
0167002159900000000000NON,Circuit Court (Retain Abbey Fishman Romanek),No
0161001159900000000000NON,Circuit Court (Retain Andrea Buford),Yes
0161002159900000000000NON,Circuit Court (Retain Andrea Buford),No
0173001159900000000000NON,Circuit Court (Retain Anjana Hansen),Yes
0173002159900000000000NON,Circuit Court (Retain Anjana Hansen),No
0146001159900000000000NON,Circuit Court (Retain Ann Collins-Dole),Yes
0146002159900000000000NON,Circuit Court (Retain Ann Collins-Dole),No
0148001159900000000000NON,Circuit Court (Retain Anna Demacopoulos),Yes
0148002159900000000000NON,Circuit Court (Retain Anna Demacopoulos),No
0156001159900000000000NON,Circuit Court (Retain Anthony Kyriakopoulos),Yes
0156002159900000000000NON,Circuit Court (Retain Anthony Kyriakopoulos),No
0178001159900000000000NON,Circuit Court (Retain Bridget Mitchell),Yes
0178002159900000000000NON,Circuit Court (Retain Bridget Mitchell),No
0157001159900000000000NON,Circuit Court (Retain Caroline Moreland),Yes
0157002159900000000000NON,Circuit Court (Retain Caroline Moreland),No
0135001159900000000000NON,Circuit Court (Retain Casandra Lewis),Yes
0135002159900000000000NON,Circuit Court (Retain Casandra Lewis),No
0163001159900000000000NON,Circuit Court (Retain Chris Lawler),Yes
0163002159900000000000NON,Circuit Court (Retain Chris Lawler),No
0159001159900000000000NON,Circuit Court (Retain Cynthia Cobbs),Yes
0159002159900000000000NON,Circuit Court (Retain Cynthia Cobbs),No
0160001159900000000000NON,Circuit Court (Retain Daniel Kubasiak),Yes
0160002159900000000000NON,Circuit Court (Retain Daniel Kubasiak),No
0154001159900000000000NON,Circuit Court (Retain Debra Walker),Yes
0154002159900000000000NON,Circuit Court (Retain Debra Walker),No
0149001159900000000000NON,Circuit Court (Retain Diana Kenworthy),Yes
0149002159900000000000NON,Circuit Court (Retain Diana Kenworthy),No
0180001159900000000000NON,Circuit Court (Retain Diana Rosario),Yes
0180002159900000000000NON,Circuit Court (Retain Diana Rosario),No
0152001159900000000000NON,Circuit Court (Retain Dominique Ross),Yes
0152002159900000000000NON,Circuit Court (Retain Dominique Ross),No
0147001159900000000000NON,Circuit Court (Retain Donna Cooper),Yes
0147002159900000000000NON,Circuit Court (Retain Donna Cooper),No
0142001159900000000000NON,Circuit Court (Retain Edward Arce),Yes
0142002159900000000000NON,Circuit Court (Retain Edward Arce),No
0128001159900000000000NON,Circuit Court (Retain Gregory Wojkowski),Yes
0128002159900000000000NON,Circuit Court (Retain Gregory Wojkowski),No
0151001159900000000000NON,Circuit Court (Retain Jackie Portman-Brown),Yes
0151002159900000000000NON,Circuit Court (Retain Jackie Portman-Brown),No
0123001159900000000000NON,Circuit Court (Retain James Flannery),Yes
0123002159900000000000NON,Circuit Court (Retain James Flannery),No
0143001159900000000000NON,Circuit Court (Retain James O'Hara),Yes
0143002159900000000000NON,Circuit Court (Retain James O'Hara),No
0179001159900000000000NON,Circuit Court (Retain James Pieczonka),Yes
0179002159900000000000NON,Circuit Court (Retain James Pieczonka),No
0132001159900000000000NON,Circuit Court (Retain Janet Adams Brosnahan),Yes
0132002159900000000000NON,Circuit Court (Retain Janet Adams Brosnahan),No
0139001159900000000000NON,Circuit Court (Retain Joan Powell),Yes
0139002159900000000000NON,Circuit Court (Retain Joan Powell),No
0164001159900000000000NON,Circuit Court (Retain John Allegretti),Yes
0164002159900000000000NON,Circuit Court (Retain John Allegretti),No
0171001159900000000000NON,Circuit Court (Retain John Curry),Yes
0171002159900000000000NON,Circuit Court (Retain John Curry),No
0175001159900000000000NON,Circuit Court (Retain John Mahoney),Yes
0175002159900000000000NON,Circuit Court (Retain John Mahoney),No
0169001159900000000000NON,Circuit Court (Retain Judith Rice),Yes
0169002159900000000000NON,Circuit Court (Retain Judith Rice),No
0127001159900000000000NON,Circuit Court (Retain Kenneth Wadas),Yes
0127002159900000000000NON,Circuit Court (Retain Kenneth Wadas),No
0134001159900000000000NON,Circuit Court (Retain Kerry Kennedy),Yes
0134002159900000000000NON,Circuit Court (Retain Kerry Kennedy),No
0165001159900000000000NON,Circuit Court (Retain Kristal Rivers),Yes
0165002159900000000000NON,Circuit Court (Retain Kristal Rivers),No
